Time (s);X (m);Y (m)
0.0;0.0;0.07893570639115476
0.005;0.08333333333333334;0.07959424137525115
0.01;0.16666666666666669;0.07300532813274763
0.015;0.25;0.07047188319896273
0.02;0.33333333333333337;0.07292023650997775
0.025;0.41666666666666674;0.07259188065228066
0.03;0.5;0.0750107611041434
0.035;0.5833333333333335;0.08514610748037571
0.04;0.6666666666666667;0.09353881136231369
0.045;0.75;0.09609864558717535
0.05;0.8333333333333335;0.09644695557318583
0.055;0.9166666666666667;0.09169021477279136
0.06;1.0;0.08245935845136997
0.065;1.0833333333333335;0.07657083147360276
0.07;1.166666666666667;0.0741813389038849
0.075;1.25;0.07254515175742277
0.08;1.3333333333333335;0.07390174176091786
0.085;1.416666666666667;0.07696332778249919
0.09;1.5;0.07951294543491778
0.095;1.5833333333333335;0.08222341167174388
0.1;1.666666666666667;0.08087300084986934
0.105;1.75;0.07586968403343489
0.11;1.8333333333333335;0.07843078613407112
0.115;1.916666666666667;0.08754456802715081
0.12;2.0;0.0907048624638574
0.125;2.0833333333333335;0.09139476073856795
0.13;2.166666666666667;0.09840438618830699
0.135;2.2500000000000004;0.10482442412745685
0.14;2.333333333333334;0.10775770958901608
0.145;2.4166666666666665;0.11643096458685531
0.15;2.5;0.1273163696207149
0.155;2.5833333333333335;0.12771703212229116
0.16;2.666666666666667;0.1208846521295573
0.165;2.7500000000000004;0.11856827738148701
0.17;2.833333333333334;0.12236500600095183
0.17500000000000002;2.916666666666667;0.1287007557550912
0.18;3.0;0.13572969444583696
0.185;3.0833333333333335;0.1396047446156215
0.19;3.166666666666667;0.13664800404374358
0.195;3.2500000000000004;0.1295448008204024
0.2;3.333333333333334;0.12506856822910858
0.20500000000000002;3.416666666666667;0.12602712452622483
0.21;3.5;0.12794105597309213
0.215;3.5833333333333335;0.12669101825434662
0.22;3.666666666666667;0.12633459007549716
0.225;3.7500000000000004;0.13063213893570852
0.23;3.833333333333334;0.1336159268304177
0.23500000000000001;3.9166666666666674;0.13179632111524237
0.24;4.0;0.13370601215523725
0.245;4.083333333333334;0.14268995845573865
0.25;4.166666666666667;0.1471766190244277
0.255;4.25;0.14151301962029394
0.26;4.333333333333334;0.1364024020283655
0.265;4.416666666666667;0.13728448694902776
0.27;4.500000000000001;0.13469840072987005
0.275;4.583333333333334;0.1263602601938171
0.28;4.666666666666668;0.12290158172575583
0.28500000000000003;4.750000000000001;0.12269198156327485
0.29;4.833333333333333;0.11342726073277695
0.295;4.916666666666667;0.10256621664382176
0.3;5.0;0.10568699997529767
0.305;5.083333333333334;0.11245289497403614
0.31;5.166666666666667;0.10776059749286786
0.315;5.25;0.10202118326260613
0.32;5.333333333333334;0.10494504248983472
0.325;5.416666666666667;0.10820505372526398
0.33;5.500000000000001;0.10965232101519481
0.335;5.583333333333334;0.11399929970997885
0.34;5.666666666666668;0.1179459196637412
0.34500000000000003;5.750000000000001;0.12072212437161442
0.35000000000000003;5.833333333333334;0.1254734952529156
0.355;5.916666666666667;0.12765728538167312
0.36;6.0;0.12403922501898634
0.365;6.083333333333334;0.11891045770336266
0.37;6.166666666666667;0.11652784905455979
0.375;6.25;0.12041246484894458
0.38;6.333333333333334;0.1276664512019955
0.385;6.416666666666667;0.1288135399636813
0.39;6.500000000000001;0.12617180735745617
0.395;6.583333333333334;0.1268663919979899
0.4;6.666666666666668;0.12468105696069362
0.405;6.750000000000001;0.11976745257249397
0.41000000000000003;6.833333333333334;0.12287428661437497
0.41500000000000004;6.916666666666668;0.12771898281112892
0.42;7.0;0.1252576045906821
0.425;7.083333333333334;0.12498721185831743
0.43;7.166666666666667;0.12816366044266747
0.435;7.250000000000001;0.124059719039748
0.44;7.333333333333334;0.11669734857320233
0.445;7.416666666666667;0.11403908711950997
0.45;7.500000000000001;0.11443353867617821
0.455;7.583333333333334;0.11811714897120468
0.46;7.666666666666668;0.12261115977280991
0.465;7.750000000000001;0.12244086269705434
0.47000000000000003;7.833333333333335;0.12284126910179052
0.47500000000000003;7.916666666666668;0.12622198838662846
0.48;8.0;0.1252206554658868
0.485;8.083333333333334;0.12328501566733148
0.49;8.166666666666668;0.1260216815047942
0.495;8.25;0.1249807548252824
0.5;8.333333333333334;0.117965515360857
0.505;8.416666666666668;0.11321699165336042
0.51;8.5;0.10935545312319578
0.515;8.583333333333334;0.10265996561806304
0.52;8.666666666666668;0.09830121018474865
0.525;8.750000000000002;0.09875838083133136
0.53;8.833333333333334;0.09958816030667696
0.535;8.916666666666668;0.09704568812310445
0.54;9.000000000000002;0.09299716022378769
0.545;9.083333333333334;0.09359014300777135
0.55;9.166666666666668;0.0987109840672413
0.555;9.250000000000002;0.10154204107355178
0.56;9.333333333333336;0.10202610632014703
0.5650000000000001;9.416666666666668;0.10334892916600982
0.5700000000000001;9.500000000000002;0.10286902209624976
0.5750000000000001;9.583333333333336;0.09985605720982065
0.58;9.666666666666666;0.09612344339533452
0.585;9.75;0.091499693121987
0.59;9.833333333333334;0.08939646162517129
0.595;9.916666666666666;0.09036269235625184
0.6;10.0;0.08686416296062147
0.605;10.083333333333334;0.08008796927371258
0.61;10.166666666666668;0.07840368063693806
0.615;10.25;0.07892346208803679
0.62;10.333333333333334;0.07700899118906598
0.625;10.416666666666668;0.07738661099815985
0.63;10.5;0.0814118951366281
0.635;10.583333333333334;0.08427574399202796
0.64;10.666666666666668;0.08433459748788454
0.645;10.750000000000002;0.08454651482481805
0.65;10.833333333333334;0.0883615293008439
0.655;10.916666666666668;0.09177581766510641
0.66;11.000000000000002;0.0883533729877396
0.665;11.083333333333334;0.08608520079926366
0.67;11.166666666666668;0.093417961129202
0.675;11.250000000000002;0.09916053269357891
0.68;11.333333333333336;0.09674681872362455
0.685;11.416666666666668;0.0970197023801776
0.6900000000000001;11.500000000000002;0.10111791729539682
0.6950000000000001;11.583333333333336;0.102006363644985
0.7000000000000001;11.666666666666668;0.10277973064516621
0.705;11.75;0.10309958649984849
0.71;11.833333333333334;0.0985732131900092
0.715;11.916666666666668;0.09802398916337815
0.72;12.0;0.1069754243142451
0.725;12.083333333333334;0.11446363715806973
0.73;12.166666666666668;0.11619083921536223
0.735;12.25;0.11898442409396495
0.74;12.333333333333334;0.1221680851795575
0.745;12.416666666666668;0.12154025439949298
0.75;12.5;0.11952727453560899
0.755;12.583333333333334;0.11819222787145159
0.76;12.666666666666668;0.11664353664081363
0.765;12.750000000000002;0.11654588875118063
0.77;12.833333333333334;0.11914623314618432
0.775;12.916666666666668;0.12066965831651646
0.78;13.000000000000002;0.11855597209790643
0.785;13.083333333333334;0.11756200896507892
0.79;13.166666666666668;0.12185623243652154
0.795;13.250000000000002;0.12667171369848326
0.8;13.333333333333336;0.12659849309233573
0.805;13.416666666666668;0.12456133354715754
0.81;13.500000000000002;0.1248977144203803
0.8150000000000001;13.583333333333336;0.126287720330247
0.8200000000000001;13.666666666666668;0.125767765282214
0.8250000000000001;13.750000000000002;0.1223638291941337
0.8300000000000001;13.833333333333336;0.11640636649144129
0.835;13.916666666666668;0.11026181459382159
0.84;14.0;0.10781247494599164
0.845;14.083333333333334;0.1095836141998647
0.85;14.166666666666668;0.1115717515864037
0.855;14.25;0.11187880300637679
0.86;14.333333333333334;0.11310628044491634
0.865;14.416666666666668;0.11650883644806367
0.87;14.500000000000002;0.1205146146404411
0.875;14.583333333333334;0.1231750679053157
0.88;14.666666666666668;0.12294083013659801
0.885;14.750000000000002;0.12289983143135794
0.89;14.833333333333334;0.12789788505408675
0.895;14.916666666666668;0.1326573991689371
0.9;15.000000000000002;0.12959798238508574
0.905;15.083333333333336;0.12358550561038263
0.91;15.166666666666668;0.11949553503607711
0.915;15.250000000000002;0.11424907340270186
0.92;15.333333333333336;0.11016159306494772
0.925;15.416666666666668;0.10964557353614446
0.93;15.500000000000002;0.10753710044750414
0.935;15.583333333333336;0.10672862967198295
0.9400000000000001;15.66666666666667;0.11288262979218708
0.9450000000000001;15.750000000000002;0.11677268213917519
0.9500000000000001;15.833333333333336;0.11269972949559971
0.9550000000000001;15.91666666666667;0.11020203249820923
0.96;16.0;0.11209033775319538
0.965;16.083333333333336;0.11303875016086325
0.97;16.166666666666668;0.11432234774202708
0.975;16.25;0.11695317994861712
0.98;16.333333333333336;0.11694784299476133
0.985;16.416666666666668;0.11344924374457588
0.99;16.5;0.109352729960995
0.995;16.583333333333336;0.10740625151273425
1.0;16.666666666666668;0.10631604951066874
1.0050000000000001;16.750000000000004;0.10259656155849688
